FIPS,year,median_household_income,poverty_rate,bachelor_plus_rate,unemployment_rate_acs,CO,NO2,PM2_5,PM10,O3,prcCancer_non_skin,prcAsthma,prcCoronaryHeartDisease,prcCOPD,prcSmoking,prcDiabetes,prcLPA,prcObesity,prcStroke
01005,2019,32525.0,0.3066868894142838,0.1157871298151859,0.091664867199309,0.2749386925094879,8.035768459052985,8.421712773607178,15.447612799151866,0.0296189687718653,7.5,11.0,10.2,12.3,26.9,19.1,42.4,40.4,6.4
01005,2020,34990.0,0.2859990937924784,0.1161431701972242,0.0693672509619495,0.2760773813540874,7.250520079826654,7.946335871398228,15.49654677216163,0.0268423329282672,7.5,11.6,11.0,12.1,24.5,19.7,38.1,40.7,6.1
01005,2021,36422.0,0.2647191011235955,0.1115309808280077,0.0862418614579997,0.2935109272620683,7.626799139680088,8.74019999284705,16.06690530421185,0.0274836224065966,7.3,11.3,9.3,11.4,24.2,18.4,41.7,43.3,5.3
01005,2022,39712.0,0.2416365383735298,0.1188118811881188,0.0575379125780553,0.2690935510092058,7.567355030320198,8.205911001308099,16.16936391447214,0.0292812221335733,7.0,11.0,10.1,12.1,24.8,18.3,37.0,46.1,5.8
01005,2023,44290.0,0.2192147806004619,0.1146471522577717,0.0570861802953493,0.2940196215044099,7.470203357064552,9.392754087698314,17.230303085969474,0.0314373240735596,7.8,10.8,9.5,11.1,20.2,19.6,36.2,46.8,5.8
01007,2019,47542.0,0.1812718107793718,0.1037852548243443,0.0728498783992925,0.2828234408412263,9.17425950047634,8.061695333384465,17.9478862104281,0.0288178892287222,7.3,9.8,8.2,10.1,24.9,14.2,38.3,41.5,4.5
01007,2020,51721.0,0.180981299402352,0.113467192093576,0.0743589743589743,0.2602601021392823,8.023314586677849,7.740190032454796,17.59021637163808,0.0261601357160275,7.2,10.3,8.6,10.1,22.7,14.1,32.1,38.7,4.3
01007,2021,54277.0,0.1694285714285714,0.1191380706234041,0.0970681893049302,0.2710790589734376,8.140049917896981,8.190374877721588,18.19417503940925,0.0262311226955022,7.0,10.3,7.7,9.7,21.9,14.1,37.0,39.9,4.0
01007,2022,50669.0,0.2062296026108658,0.1091993720565149,0.0870624723083739,0.2210284714856605,7.729479992926826,7.853040795107705,17.970572753706623,0.0290112688946953,6.8,9.9,8.3,10.2,22.4,13.8,32.5,38.6,4.2
01007,2023,51215.0,0.2051158533648056,0.1146820664113991,0.09984,0.2246822815407546,7.766089860967621,8.882650275299959,19.002869270950622,0.0312290553760465,8.3,10.4,8.5,10.2,19.7,16.2,33.3,43.9,4.7
01009,2019,49358.0,0.1355151642501926,0.1309341308336055,0.0336419753086419,0.2888182218608224,9.528642140306196,7.975505629981892,17.611715138051714,0.0304118862098758,8.0,9.6,8.3,10.0,21.5,13.4,34.0,38.9,4.2
01009,2020,48922.0,0.137360617571376,0.1325162003315416,0.0520154427331977,0.2634397982540401,8.34303792781186,7.722105185367905,17.131285331161997,0.0272317764508671,8.0,10.2,9.2,10.5,22.1,13.5,31.4,34.0,4.2
01009,2021,52830.0,0.1323663048882945,0.1490360971771417,0.0602372276920691,0.2760865584784259,8.469605652440473,8.363806829646942,17.94503734206464,0.0276557627086127,7.9,10.0,7.9,9.2,19.0,12.8,31.8,37.9,3.7
01009,2022,57440.0,0.1417318789705303,0.1474140676678834,0.0596958462586063,0.226906406108453,8.02062790887553,7.914092527347714,18.018993992597963,0.0298960048568984,7.6,9.6,8.8,10.2,21.0,13.2,29.8,32.9,3.9
01009,2023,61096.0,0.1409528679792039,0.1557902954307043,0.0583517292126563,0.2313952210521334,8.080642873522688,9.04276926855352,19.10635204999426,0.0319860752982102,9.3,9.9,8.0,9.1,16.6,13.8,29.1,36.1,4.1
01011,2019,37785.0,0.2887367130008176,0.1205464019152232,0.0387269085243712,0.2810221696057417,8.119845771641785,8.387575918479278,15.12142477408596,0.0296300106267847,6.5,10.8,8.7,10.0,25.0,19.5,41.8,44.1,6.1
01011,2020,33866.0,0.2949655101410481,0.1027417452830188,0.0335262904003859,0.2785754256050745,7.301686408784849,7.848534133048671,14.838350930318478,0.0265883519625588,6.6,11.8,10.1,10.9,24.4,20.7,39.2,45.8,6.2
01011,2021,29063.0,0.3093459830440048,0.11691144394358,0.0299796747967479,0.2956983395383494,7.658050339197349,8.494564921934927,14.954942549744953,0.0272775677094075,6.5,11.6,9.3,11.1,25.5,21.3,44.9,49.2,5.9
01011,2022,36136.0,0.2794301164725457,0.0937674678591391,0.037037037037037,0.2698846238478251,7.575613320487728,8.031502534914967,14.703512956867735,0.0292037824341365,6.2,11.1,9.7,11.2,25.1,20.5,40.7,48.6,6.2
01011,2023,36723.0,0.2565112716130444,0.0899972892382759,0.0587318087318087,0.294133093096529,7.480066482377742,9.44074046873012,16.16697851809318,0.0314842900798859,6.3,11.5,10.7,13.0,24.7,24.6,44.2,51.3,7.3
01013,2019,40688.0,0.2250255885363357,0.1613720240248932,0.0680455987777647,0.2666485778105384,7.463166020449197,8.135362397071859,15.418101921232685,0.0298683074925109,8.1,10.7,9.5,11.1,23.2,18.5,41.9,39.6,5.9
01013,2020,44850.0,0.1955592189995363,0.1595513748191027,0.0646561839943675,0.2631867940522402,6.662747180716723,7.780763099798091,15.47635639395012,0.0272729774421189,8.0,11.4,10.4,11.4,21.4,18.6,37.3,41.2,5.8
01013,2021,45236.0,0.181770005299417,0.1403915122534369,0.065456341855008,0.2778154196464718,6.951863940011143,8.203402542796669,15.684462552930398,0.0278144567958092,7.9,11.0,8.7,10.0,20.1,17.3,38.4,41.6,4.9
01013,2022,44429.0,0.211076560154407,0.1304839439167797,0.0681337809275146,0.2516741118852402,6.882124345565254,7.844951322051877,15.791227377719917,0.0297557361061925,7.5,10.6,9.4,10.7,20.9,17.0,34.1,45.0,5.2
01013,2023,44881.0,0.2101586613960036,0.137648131267092,0.0679043109892848,0.2765477256785678,6.776623096186952,9.202068196793835,16.923509702557524,0.0319146032641444,8.4,10.9,9.1,10.3,18.3,18.9,37.1,40.4,5.5
01015,2019,47255.0,0.1790267343242904,0.1848106386206199,0.0807968372164434,0.3114975179347383,9.211630054844395,8.04316823582164,16.1695826431707,0.0306673136205939,7.7,10.0,8.1,9.8,21.8,14.7,33.2,35.9,4.5
01015,2020,50128.0,0.1578365354359025,0.1885597781351703,0.0729380346015404,0.299570806714397,8.254049469511736,7.601670828064263,16.051060128883496,0.0269569123547491,7.7,11.1,9.1,10.2,20.4,14.7,30.3,40.9,4.5
01015,2021,50977.0,0.1753843981146398,0.1952830071141123,0.0701468498342018,0.3177262047659128,8.623560058639525,8.22154587415868,17.149031878411968,0.0277682376254284,7.5,10.6,7.7,9.4,20.0,14.1,35.1,38.7,3.9
01015,2022,54339.0,0.1803916332888295,0.1915343781277318,0.0694677027866107,0.2871276518737405,8.412033784473694,7.825633593206977,17.42662276225088,0.0297324042265091,7.2,10.3,8.2,9.9,20.0,14.3,29.1,37.2,4.1
01015,2023,55826.0,0.1746218817521115,0.2054510537092856,0.0643802301755998,0.30957054637767,8.337488831136922,9.273808005672333,18.399871557810027,0.0319471876851414,8.2,10.6,7.7,8.9,16.3,14.8,31.9,38.6,4.2
01017,2019,42289.0,0.1725221279038153,0.132960612047585,0.039387873700523,0.3223302557524648,9.294222859695006,8.232484316298851,15.74238275575471,0.0304434126601118,8.0,10.4,8.9,10.4,22.4,17.0,37.9,39.6,5.4
01017,2020,43875.0,0.153977186311787,0.1444196710277228,0.035882661079099,0.3188429032401172,8.400751834043508,7.715460357106912,15.66018134462214,0.0270098902827359,7.8,11.1,9.8,10.8,22.0,17.5,34.2,39.1,5.3
01017,2021,47232.0,0.1507132459970888,0.1365393910101498,0.0315354774120886,0.3376619300493525,8.863658487455364,8.48450924359065,16.616801635301407,0.0279885356071888,7.7,10.9,8.3,9.6,19.5,16.5,36.8,44.0,4.6
